system,n_queries,macro_f1,mean_total_tokens,mean_retrieved_tokens,macro_rds,total_cost_usd
ckg,7758,0.4709,268.9,43.9,0.00201341,7.8087
rag,7191,0.1231,2982.1,2391.6,4.821e-05,76.2307
graphrag,2683,0.12,3450.0,0.0,4.516e-05,44.4305
